구간 / 차종,평일-1종,평일-2종,평일-3종,평일-4종,평일-5종,주말-1종,주말-2종,주말-3종,주말-4종,주말-5종
 남경주 ~ 동경주 ,21723,561,1063,669,3241,28685,236,765,236,1006
 동경주 ~ 남포항 ,22633,576,1094,710,3569,29115,242,767,248,1087
 울산JC ~ 문수 ,14853,627,1340,1502,4102,20449,187,482,450,1553
 문수 ~ 청량 ,12715,434,918,1119,3589,18173,141,364,333,1339
 청량 ~ 온양 ,16605,478,739,878,3901,23734,173,374,261,1127
 온양 ~ 장안 ,17736,558,810,1014,4932,24516,197,383,299,1453
 장안 ~ 기장일광 ,19031,655,880,1121,5136,24816,212,370,333,1509
 기장일광 ~ 해운대송정 ,13509,176,244,119,272,19257,98,178,43,64
 해운대송정 ~ 해운대 ,9543,113,199,81,222,14085,66,152,27,43
 산인2JC ~ 산인 ,30995,717,1535,592,916,39253,317,1421,207,348
 창원JC ~ 마산 ,37838,1170,1926,767,1163,42961,441,1589,253,449
 냉정JC ~ 장유 ,51879,1872,3348,2404,4297,58955,701,2303,883,1255
 장유 ~ 가락JC ,52910,1523,2928,1854,4250,60575,540,2314,642,1179
